account_id,segment_name,arr,arr_headroom,health_score,upsell_label,propensity_score,propensity_decile,priority_tier,shap_driver_1,shap_value_1,shap_driver_2,shap_value_2,shap_driver_3,shap_value_3,rank
ACC-07463,Growth-Stage Expanding,43244.08,456755.92,69.58,1,0.6246,10,High,arr_utilization,0.3466,arr,0.2697,arr_per_tenure_month,0.228,83
ACC-01442,Growth-Stage Expanding,118176.37,381823.63,85.08,1,0.6246,10,High,,,,,,,84
ACC-09801,Growth-Stage Expanding,38658.04,461341.96,64.82,1,0.6246,10,High,,,,,,,85
ACC-09497,Growth-Stage Expanding,139097.19,360902.81,62.88,1,0.6233,10,High,,,,,,,86
ACC-02506,At-Risk Dormant,58214.35,441785.65,62.39,1,0.6209,10,High,,,,,,,87
ACC-01471,Loyal Mid-Market,2000.84,17999.16,86.53,1,0.6193,10,High,,,,,,,88
ACC-09276,Growth-Stage Expanding,54631.52,445368.48,52.71,1,0.6172,10,High,,,,,,,89
ACC-08610,At-Risk Dormant,12497.13,137502.87,50.55,1,0.6172,10,High,,,,,,,90
ACC-05340,At-Risk Dormant,38199.62,111800.38,74.98,1,0.6162,10,High,,,,,,,91
ACC-04089,At-Risk Dormant,44335.39,455664.61,71.24,1,0.6162,10,High,contract_end_days,0.4621,health_score,0.3337,arr_utilization,0.3051,92
ACC-03523,At-Risk Dormant,47070.07,452929.93,60.86,1,0.6162,10,High,,,,,,,93
ACC-07155,At-Risk Dormant,4794.76,15205.24,61.07,1,0.6162,10,High,,,,,,,94
ACC-05176,Growth-Stage Expanding,51643.71,448356.29,60.23,1,0.6162,10,High,,,,,,,95
ACC-05320,At-Risk Dormant,18359.01,131640.99,68.71,1,0.6162,10,High,,,,,,,96
ACC-07863,Growth-Stage Expanding,161257.61,338742.39,82.11,1,0.6162,10,High,,,,,,,97
ACC-04606,Loyal Mid-Market,33890.56,116109.44,50.03,1,0.6162,10,High,,,,,,,98
ACC-04076,Loyal Mid-Market,16214.62,133785.38,75.14,1,0.6162,10,High,health_score,0.517,num_products,0.2663,peak_feature_adoption,0.1463,99
ACC-09456,At-Risk Dormant,53281.15,446718.85,48.18,1,0.6096,10,High,num_products,0.2721,arr,0.247,contract_end_days,0.238,100
ACC-02581,Loyal Mid-Market,43017.24,456982.76,75.48,1,0.6091,10,High,,,,,,,101
ACC-01768,Growth-Stage Expanding,104655.95,395344.05,75.77,1,0.6064,10,High,,,,,,,102
ACC-01757,Growth-Stage Expanding,189038.35,310961.65,73.47,1,0.6064,10,High,,,,,,,103
ACC-01093,Loyal Mid-Market,28839.97,121160.03,71.1,1,0.6064,10,High,,,,,,,104
ACC-04430,Growth-Stage Expanding,140999.63,359000.37,31.35,1,0.6064,10,High,,,,,,,105
ACC-02483,Growth-Stage Expanding,58431.85,441568.15,57.34,1,0.6064,10,High,,,,,,,106
ACC-01390,High-Value Engaged,372026.94,127973.06,33.01,1,0.6003,10,High,logins_stddev,0.5426,arr_utilization,-0.5248,health_score,-0.5167,107
ACC-02197,Growth-Stage Expanding,120786.47,379213.53,56.89,1,0.6003,10,High,,,,,,,108
ACC-00616,Loyal Mid-Market,5060.69,34939.31,76.35,1,0.6003,10,High,,,,,,,109
ACC-07371,Loyal Mid-Market,29295.09,120704.91,51.96,1,0.6001,10,High,,,,,,,110
ACC-09446,At-Risk Dormant,46089.73,103910.26999999999,58.26,1,0.6001,10,High,,,,,,,111
ACC-08890,Growth-Stage Expanding,49256.19,450743.81,85.28,1,0.6001,10,High,,,,,,,112
ACC-07986,At-Risk Dormant,37207.62,112792.38,57.53,1,0.6001,10,High,,,,,,,113
ACC-09645,Loyal Mid-Market,2053.84,17946.16,74.47,1,0.6001,10,High,,,,,,,114
ACC-06023,Growth-Stage Expanding,51389.92,448610.08,71.29,1,0.5969,10,High,,,,,,,115
ACC-01277,Loyal Mid-Market,24978.33,125021.67,81.65,1,0.5969,10,High,,,,,,,116
ACC-01936,Growth-Stage Expanding,135203.59,364796.41000000003,66.66,1,0.5969,10,High,,,,,,,117
ACC-03270,Growth-Stage Expanding,84662.67,415337.33,65.33,1,0.5969,10,High,,,,,,,118
ACC-00590,Growth-Stage Expanding,182889.58,317110.42000000004,45.62,1,0.5969,10,High,,,,,,,119
ACC-03282,At-Risk Dormant,36383.96,463616.04,69.4,1,0.5969,10,High,,,,,,,120
ACC-02587,At-Risk Dormant,29510.99,120489.01,61.5,1,0.5969,10,High,,,,,,,121
ACC-00337,Growth-Stage Expanding,31470.87,468529.13,63.88,1,0.5969,10,High,,,,,,,122
ACC-04305,Growth-Stage Expanding,121743.8,378256.2,49.7,1,0.5969,10,High,logins_stddev,0.3153,arr_per_tenure_month,0.3035,avg_storage_gb,0.2605,123
ACC-06102,At-Risk Dormant,28572.16,121427.84,70.01,1,0.5969,10,High,,,,,,,124
ACC-02119,Growth-Stage Expanding,59527.97,440472.03,64.42,1,0.5969,10,High,,,,,,,125
ACC-06325,At-Risk Dormant,6535.41,33464.59,70.51,1,0.5969,10,High,,,,,,,126
ACC-05317,Growth-Stage Expanding,124673.29,375326.71,62.48,1,0.5969,10,High,,,,,,,127
ACC-01749,At-Risk Dormant,9372.61,30627.39,59.62,1,0.5969,10,High,,,,,,,128
ACC-05043,At-Risk Dormant,19512.14,130487.86,75.84,1,0.5969,10,High,,,,,,,129
ACC-04292,Growth-Stage Expanding,101640.5,398359.5,57.22,1,0.5969,10,High,,,,,,,130
ACC-05537,At-Risk Dormant,32666.77,117333.23,55.15,1,0.5969,10,High,,,,,,,131
ACC-01388,At-Risk Dormant,14741.47,135258.53,42.03,1,0.5969,10,High,,,,,,,132
ACC-02919,Growth-Stage Expanding,87610.9,412389.1,76.23,1,0.5969,10,High,,,,,,,133
ACC-08884,Growth-Stage Expanding,64173.8,435826.2,86.85,1,0.5967,10,High,,,,,,,134
ACC-08069,Growth-Stage Expanding,38450.91,461549.08999999997,52.91,1,0.5948,10,High,,,,,,,135
ACC-08300,Loyal Mid-Market,26097.03,123902.97,64.32,1,0.5929,10,High,,,,,,,136
ACC-08644,At-Risk Dormant,33890.92,116109.08,48.88,1,0.5917,10,High,,,,,,,137
ACC-09498,Growth-Stage Expanding,97456.22,402543.78,43.62,1,0.5917,10,High,,,,,,,138
ACC-08758,At-Risk Dormant,38230.84,111769.16,55.49,1,0.5917,10,High,,,,,,,139
ACC-05238,Growth-Stage Expanding,126065.67,373934.33,32.19,1,0.5916,10,High,,,,,,,140
ACC-07091,At-Risk Dormant,7283.71,32716.29,68.63,1,0.5916,10,High,,,,,,,141
ACC-04088,At-Risk Dormant,8941.44,31058.559999999998,29.16,1,0.5916,10,High,,,,,,,142
ACC-00938,Loyal Mid-Market,27402.56,472597.44,72.83,1,0.5916,10,High,,,,,,,143
ACC-07689,Loyal Mid-Market,22629.07,127370.93,67.43,1,0.5912,10,High,,,,,,,144
ACC-07843,Growth-Stage Expanding,132383.31,367616.69,76.42,1,0.5912,10,High,,,,,,,145
ACC-00277,At-Risk Dormant,11893.42,138106.58,64.46,1,0.5907,10,High,,,,,,,146
ACC-02951,At-Risk Dormant,21104.91,128895.09,67.29,1,0.5907,10,High,,,,,,,147
ACC-02375,At-Risk Dormant,39602.01,110397.98999999999,70.03,1,0.5907,10,High,,,,,,,148
ACC-03316,Growth-Stage Expanding,39800.95,460199.05,69.65,1,0.5907,10,High,,,,,,,149
ACC-05500,Loyal Mid-Market,54478.42,95521.58,78.59,1,0.59,10,High,,,,,,,150
ACC-00119,At-Risk Dormant,55129.85,94870.15,26.24,1,0.59,10,High,,,,,,,151
ACC-02150,Growth-Stage Expanding,61670.52,438329.48,64.8,1,0.5885,10,High,,,,,,,152
ACC-08853,High-Value Engaged,226223.8,273776.2,48.58,1,0.5885,10,High,,,,,,,153
ACC-00628,Growth-Stage Expanding,130050.11,369949.89,60.01,1,0.5885,10,High,arr_per_tenure_month,0.3173,logins_stddev,0.2805,arr,0.2492,154
ACC-02218,Loyal Mid-Market,2239.2,17760.8,84.56,1,0.5885,10,High,,,,,,,155
ACC-03291,Loyal Mid-Market,32381.49,117618.51,68.34,1,0.5885,10,High,,,,,,,156
ACC-02008,Growth-Stage Expanding,135606.28,364393.72,40.81,1,0.5878,10,High,,,,,,,157
ACC-03284,Growth-Stage Expanding,51117.23,448882.77,36.18,1,0.5878,10,High,,,,,,,158
ACC-00750,At-Risk Dormant,790.57,19209.43,69.27,1,0.5878,10,High,,,,,,,159
ACC-05305,Growth-Stage Expanding,107609.63,392390.37,66.62,1,0.5873,10,High,,,,,,,160
ACC-01414,Loyal Mid-Market,2277.85,17722.15,71.4,1,0.5873,10,High,,,,,,,161
ACC-03702,At-Risk Dormant,28673.47,121326.53,66.93,1,0.5873,10,High,,,,,,,162
ACC-01341,High-Value Engaged,210349.04,289650.95999999996,31.62,1,0.5854,10,High,,,,,,,163
ACC-01813,At-Risk Dormant,8631.33,31368.67,28.35,1,0.5854,10,High,health_score,-0.317,contract_end_days,0.2862,num_products,0.2385,164
ACC-00029,Loyal Mid-Market,27173.8,122826.2,77.99,1,0.5854,10,High,,,,,,,165
ACC-08651,Loyal Mid-Market,39256.34,110743.66,60.83,1,0.5835,10,High,,,,,,,166
ACC-04636,Growth-Stage Expanding,88734.78,411265.22,66.61,1,0.5835,10,High,,,,,,,167
ACC-04863,At-Risk Dormant,34098.91,115901.09,49.36,1,0.5835,10,High,contract_end_days,0.4216,arr,0.2252,max_storage_gb,0.1755,168
ACC-08039,Growth-Stage Expanding,28831.57,471168.43,59.87,1,0.5835,10,High,,,,,,,169
ACC-05594,Growth-Stage Expanding,91085.24,408914.76,78.72,1,0.5835,10,High,,,,,,,170
ACC-09953,At-Risk Dormant,798.64,19201.36,42.89,1,0.5833,10,High,avg_storage_gb,0.3592,contract_end_days,0.3529,max_storage_gb,0.2819,171
ACC-08428,Loyal Mid-Market,38562.6,111437.4,85.24,1,0.5833,10,High,,,,,,,172
ACC-00006,Loyal Mid-Market,1553.14,18446.86,72.5,1,0.5832,10,High,,,,,,,173
ACC-01991,Growth-Stage Expanding,190684.73,309315.27,41.64,1,0.5824,10,High,contract_end_days,0.3594,arr,0.3562,logins_stddev,0.3115,174
ACC-01908,Growth-Stage Expanding,101522.08,398477.92,54.08,1,0.5824,10,High,,,,,,,175
ACC-02228,Growth-Stage Expanding,91368.41,408631.58999999997,71.34,1,0.5824,10,High,,,,,,,176
ACC-07842,Loyal Mid-Market,43081.59,106918.41,67.95,0,0.5824,10,High,,,,,,,177
ACC-00379,Loyal Mid-Market,99616.86,50383.14,65.03,1,0.5824,10,High,num_products,0.3277,health_score,0.2384,arr,0.2368,178
ACC-01491,High-Value Engaged,205705.1,294294.9,65.99,1,0.5814,10,High,arr,0.3428,logins_stddev,0.2348,num_products,0.2233,179
ACC-00206,Loyal Mid-Market,24981.65,125018.35,66.71,1,0.5802,10,High,,,,,,,180
ACC-07430,Loyal Mid-Market,1515.67,18484.33,47.17,1,0.5799,10,High,,,,,,,181
ACC-00176,Growth-Stage Expanding,117008.22,382991.78,47.5,1,0.5792,10,High,arr,0.2058,num_products,0.1444,tenure_months,-0.125,182
ACC-08641,At-Risk Dormant,23793.22,126206.78,58.79,1,0.5791,10,High,,,,,,,183
ACC-00474,Growth-Stage Expanding,91928.25,408071.75,29.42,1,0.5783,10,High,health_score,-0.2647,arr,0.2324,avg_feature_adoption,-0.201,184
ACC-03581,Loyal Mid-Market,1828.18,38171.82,77.65,1,0.5775,10,High,,,,,,,185
ACC-04065,Growth-Stage Expanding,92525.29,407474.71,79.09,1,0.5775,10,High,,,,,,,186
ACC-05314,Loyal Mid-Market,11202.65,28797.35,78.79,1,0.5775,10,High,,,,,,,187
ACC-04871,Early-Stage Potential,54952.01,95047.98999999999,43.07,1,0.5775,10,High,,,,,,,188
ACC-03572,Growth-Stage Expanding,73606.73,426393.27,59.9,1,0.5775,10,High,,,,,,,189
ACC-07313,Early-Stage Potential,46548.36,103451.64,27.88,1,0.5774,10,High,,,,,,,190
ACC-09214,Growth-Stage Expanding,44168.64,455831.36,66.38,1,0.5767,10,High,,,,,,,191
ACC-07849,Loyal Mid-Market,60362.65,89637.35,50.19,1,0.5743,10,High,,,,,,,192
ACC-03574,Early-Stage Potential,32574.51,117425.49,40.64,1,0.5737,10,High,,,,,,,193
ACC-06017,Loyal Mid-Market,33508.6,116491.4,60.15,1,0.5737,10,High,num_products,0.3418,arr,0.2669,support_tickets_l90d,-0.2514,194
ACC-05922,Growth-Stage Expanding,57131.79,442868.21,61.16,1,0.5737,10,High,,,,,,,195
ACC-06073,High-Value Engaged,234038.28,265961.72,40.74,1,0.5737,10,High,logins_stddev,0.395,arr,0.3745,peak_feature_adoption,0.2718,196
ACC-05820,At-Risk Dormant,18274.75,131725.25,49.05,1,0.5736,10,High,contract_end_days,0.3537,max_storage_gb,0.2168,arr_utilization,0.1473,197
ACC-07773,Growth-Stage Expanding,82236.05,417763.95,54.11,1,0.572,10,High,,,,,,,198
ACC-08206,At-Risk Dormant,25738.3,124261.7,76.13,1,0.5703,10,High,,,,,,,199
ACC-01900,High-Value Engaged,188034.69,311965.31,40.05,1,0.5697,10,High,,,,,,,200
ACC-01217,At-Risk Dormant,67445.44,82554.56,76.72,1,0.5692,10,High,,,,,,,201
ACC-08184,High-Value Engaged,324522.27,175477.72999999998,65.72,1,0.569,10,High,logins_stddev,0.6798,arr,0.369,tenure_months,0.3163,202
ACC-02378,Loyal Mid-Market,6409.78,33590.22,75.36,1,0.5672,10,High,,,,,,,203
ACC-06843,At-Risk Dormant,1612.12,38387.88,76.68,1,0.5665,10,High,,,,,,,204
ACC-05410,At-Risk Dormant,341.22,19658.78,78.05,1,0.5664,10,High,health_score,0.471,contract_end_days,0.3534,arr_per_tenure_month,-0.2938,205
ACC-03097,Growth-Stage Expanding,66576.03,433423.97,77.76,1,0.5663,10,High,,,,,,,206
ACC-04043,Growth-Stage Expanding,83001.9,416998.1,75.52,1,0.5643,10,High,,,,,,,207
ACC-01645,Early-Stage Potential,17374.35,132625.65,44.55,1,0.5628,10,High,,,,,,,208
ACC-00412,Early-Stage Potential,4915.4,35084.6,56.0,1,0.5628,10,High,,,,,,,209
ACC-03339,Loyal Mid-Market,17072.4,132927.6,76.53,1,0.5628,10,High,,,,,,,210
ACC-03303,Loyal Mid-Market,31004.25,118995.75,53.32,1,0.5618,10,High,arr_per_tenure_month,0.2801,arr,0.1753,num_products,-0.1312,211
ACC-07479,Early-Stage Potential,28978.78,121021.22,52.47,1,0.5612,10,High,,,,,,,212
ACC-00503,Early-Stage Potential,1335.4,18664.6,30.74,1,0.5606,10,High,,,,,,,213
ACC-03176,Loyal Mid-Market,66418.51,433581.49,84.56,1,0.5602,10,High,,,,,,,214
ACC-08860,At-Risk Dormant,54984.93,95015.07,81.99,1,0.559,10,High,contract_end_days,0.3031,arr,0.2982,health_score,0.2482,215
ACC-06834,At-Risk Dormant,1560.25,18439.75,58.17,1,0.559,10,High,,,,,,,216
ACC-05470,At-Risk Dormant,49448.32,450551.68,35.52,1,0.5584,10,High,,,,,,,217
ACC-05623,At-Risk Dormant,12227.26,27772.739999999998,51.3,1,0.5584,10,High,contract_end_days,0.4526,num_products,0.3103,nps_score,0.1916,218
ACC-06547,Growth-Stage Expanding,126428.14,373571.86,26.78,1,0.5582,10,High,,,,,,,219
ACC-00556,Loyal Mid-Market,46262.83,103737.17,67.41,1,0.557,10,High,,,,,,,220
ACC-00764,High-Value Engaged,277828.88,222171.12,40.25,1,0.5568,10,High,arr_utilization,-0.5137,logins_stddev,0.3736,avg_feature_adoption,-0.3013,221
ACC-04432,Loyal Mid-Market,1048.21,18951.79,67.59,1,0.5557,10,High,,,,,,,222
ACC-05819,Loyal Mid-Market,46863.95,103136.05,52.89,1,0.5557,10,High,,,,,,,223
ACC-06078,Loyal Mid-Market,14155.14,135844.86,72.18,1,0.5557,10,High,,,,,,,224
ACC-05174,Growth-Stage Expanding,66608.34,433391.66000000003,37.51,1,0.5557,10,High,,,,,,,225
ACC-05685,Loyal Mid-Market,26387.36,123612.64,71.47,1,0.5557,10,High,,,,,,,226
ACC-00294,At-Risk Dormant,26200.78,473799.22,70.12,1,0.5557,10,High,,,,,,,227
ACC-04339,Loyal Mid-Market,8424.62,31575.379999999997,81.41,1,0.5557,10,High,,,,,,,228
ACC-04887,Growth-Stage Expanding,91926.32,408073.68,62.53,1,0.5557,10,High,arr,0.2588,avg_feature_adoption,0.2486,num_products,0.2479,229
ACC-03727,Loyal Mid-Market,437.87,19562.13,64.29,1,0.5557,10,High,,,,,,,230
ACC-04611,Early-Stage Potential,495.48,19504.52,59.8,1,0.5557,10,High,,,,,,,231
ACC-02300,At-Risk Dormant,4707.89,35292.11,58.44,1,0.5545,10,High,,,,,,,232
ACC-02903,High-Value Engaged,470327.46,29672.53999999998,40.85,1,0.5545,10,High,,,,,,,233
ACC-03995,Growth-Stage Expanding,56902.26,93097.73999999999,42.88,1,0.553,10,High,arr,0.3916,arr_per_tenure_month,0.3306,users_per_login,0.3191,234
ACC-03961,Early-Stage Potential,27308.37,122691.63,45.14,1,0.553,10,High,avg_feature_adoption,0.282,max_storage_gb,0.2572,peak_feature_adoption,0.2437,235
ACC-06226,Early-Stage Potential,26330.31,473669.69,48.91,1,0.5525,10,High,,,,,,,236
ACC-05154,At-Risk Dormant,32146.29,117853.70999999999,29.46,1,0.5498,10,Medium,,,,,,,237
ACC-06663,High-Value Engaged,363702.61,136297.39,68.18,1,0.5498,10,Medium,,,,,,,238
ACC-05466,At-Risk Dormant,2011.04,17988.96,68.96,1,0.5498,10,Medium,,,,,,,239
ACC-05000,At-Risk Dormant,4161.3,35838.7,54.1,1,0.5498,10,Medium,,,,,,,240
ACC-06324,Growth-Stage Expanding,214857.31,285142.69,67.53,1,0.5498,10,Medium,,,,,,,241
ACC-04952,Loyal Mid-Market,7528.2,32471.8,80.23,1,0.5492,10,Medium,,,,,,,242
ACC-01529,Growth-Stage Expanding,61354.48,438645.52,32.61,1,0.549,10,Medium,,,,,,,243
ACC-01886,At-Risk Dormant,18413.91,131586.09,53.8,1,0.5486,10,Medium,,,,,,,244
ACC-01309,Growth-Stage Expanding,110176.34,389823.66000000003,56.16,1,0.5486,10,Medium,login_growth,-0.2723,logins_stddev,0.2609,arr_per_tenure_month,0.2538,245
ACC-02211,At-Risk Dormant,519.82,19480.18,65.8,1,0.5481,10,Medium,,,,,,,246
ACC-03454,Growth-Stage Expanding,154389.26,345610.74,74.57,1,0.5481,10,Medium,,,,,,,247
