rank,account_id,segment_name,arr,rsam_score,risk_adj_clv,propensity_score,churn_prob_6m,composite_score,final_tier,action_tags,shap_driver_1,shap_driver_2,shap_driver_3,contract_end_days,health_score,nps_score
26,ACC-05064,High-Value Engaged,436909.23,198761.55,1137426.94,0.5302,0.12,0.574368,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,50,49.72,8
27,ACC-09086,Loyal Mid-Market,51875.83,161345.37,562903.94,0.7674,0.12,0.5614,Tier 3 — Develop,🔥 Hot Upsell | 💰 High Headroom | ⭐ Promoter,tenure_months,health_score,arr,119,70.15,10
28,ACC-07064,High-Value Engaged,172336.02,242369.95,1094823.79,0.3741,0.12,0.555453,Tier 3 — Develop,💰 High Headroom,,,,119,66.52,8
29,ACC-08694,Growth-Stage Expanding,45291.99,167492.48,486850.87,0.7674,0.12,0.550468,Tier 3 — Develop,🔥 Hot Upsell | 💰 High Headroom | ➕ Cross-Sell,num_products,health_score,arr,262,70.77,8
30,ACC-03877,Growth-Stage Expanding,61302.68,166103.73,493623.5,0.6924,0.12,0.545884,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ✅ Ready to Expand,,,,76,75.69,6
31,ACC-04539,High-Value Engaged,168476.75,208223.83,994489.56,0.5229,0.12,0.542709,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,logins_stddev,num_products,arr,178,52.85,8
32,ACC-00469,High-Value Engaged,203667.44,198437.59,973094.2,0.5262,0.12,0.536242,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,58,40.93,6
33,ACC-01157,High-Value Engaged,144223.22,260855.94,837703.66,0.3896,0.12,0.535401,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,logins_stddev,arr,avg_monthly_api_calls,270,65.12,9
34,ACC-03801,High-Value Engaged,297013.66,169020.52,1004769.69,0.5452,0.12,0.53045,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,294,65.4,10
35,ACC-09718,High-Value Engaged,338722.26,176109.26,1328951.82,0.3892,0.12,0.526082,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,44,44.12,8
36,ACC-08252,High-Value Engaged,219046.96,186191.46,1028224.9,0.4067,0.12,0.521873,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter,,,,69,68.12,9
37,ACC-02194,High-Value Engaged,216045.37,195172.95,910711.52,0.4985,0.12,0.518735,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ➕ Cross-Sell,,,,77,48.34,5
38,ACC-09799,High-Value Engaged,247581.82,214249.58,1022802.65,0.4996,0.12,0.516515,Tier 3 — Develop,💰 High Headroom,,,,249,34.54,3
39,ACC-07697,Loyal Mid-Market,27683.24,165047.36,440967.61,0.6746,0.12,0.515282,Tier 3 — Develop,💰 High Headroom | ✅ Ready to Expand,,,,286,75.06,8
40,ACC-07894,High-Value Engaged,224398.01,232454.05,810760.1,0.4032,0.12,0.511473,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,191,62.7,10
41,ACC-07273,Growth-Stage Expanding,98574.69,84297.38,343311.8,0.7674,0.12,0.510781,Tier 3 — Develop,🔥 Hot Upsell | 📅 Renewal Window | 💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,42,84.14,10
42,ACC-00511,High-Value Engaged,184740.19,201801.86,742676.08,0.5314,0.12,0.510414,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,logins_stddev,num_products,tenure_months,136,51.81,4
43,ACC-01402,High-Value Engaged,190086.44,190514.05,1004785.27,0.4363,0.12,0.51028,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter,,,,80,53.29,9
44,ACC-00815,High-Value Engaged,247912.85,200539.44,1183914.05,0.3882,0.12,0.510201,Tier 3 — Develop,💰 High Headroom,,,,325,54.46,5
45,ACC-05138,High-Value Engaged,281850.57,171094.85,949977.51,0.529,0.12,0.510176,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,88,48.0,4
46,ACC-08348,High-Value Engaged,357064.7,171593.22,1294859.41,0.474,0.12,0.509132,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,arr_utilization,logins_stddev,login_growth,335,39.66,7
47,ACC-04855,High-Value Engaged,151534.34,233693.8,932252.1,0.3955,0.12,0.506918,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,296,51.4,8
48,ACC-03310,High-Value Engaged,228661.37,225196.99,878669.8,0.4269,0.12,0.506743,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,256,52.91,10
49,ACC-04457,High-Value Engaged,425847.59,140067.14,1494014.94,0.4877,0.12,0.505964,Tier 3 — Develop,💰 High Headroom,logins_stddev,arr_utilization,tenure_months,210,33.45,0
50,ACC-06892,Loyal Mid-Market,30483.62,152592.24,467209.6,0.6402,0.12,0.501108,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,122,73.23,10
51,ACC-08501,High-Value Engaged,292497.77,149471.16,1043635.97,0.5141,0.12,0.500512,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,144,55.69,7
52,ACC-03495,Growth-Stage Expanding,108654.24,114211.78,506648.71,0.6829,0.12,0.499659,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,47,66.11,9
53,ACC-03986,High-Value Engaged,203044.0,179015.34,1003033.17,0.4659,0.12,0.49877,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,logins_stddev,avg_monthly_api_calls,arr,72,42.71,6
54,ACC-09085,High-Value Engaged,255384.16,169429.21,828669.26,0.5057,0.12,0.494713,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,48,43.17,2
55,ACC-09168,High-Value Engaged,174218.13,210223.81,952903.4,0.3899,0.12,0.491425,Tier 3 — Develop,💰 High Headroom,,,,92,45.2,4
56,ACC-00221,Loyal Mid-Market,53452.25,104493.91,372963.55,0.7397,0.12,0.487608,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,120,77.04,10
57,ACC-08338,High-Value Engaged,225828.86,163436.64,1027660.92,0.4768,0.12,0.487552,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,logins_stddev,arr_utilization,login_growth,262,52.01,9
58,ACC-02896,Growth-Stage Expanding,83103.07,87214.94,377197.66,0.7336,0.12,0.487311,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter,,,,43,70.86,10
59,ACC-00616,Loyal Mid-Market,5060.69,163328.77,355638.52,0.6003,0.12,0.483025,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell | ✅ Ready to Expand,,,,168,76.35,10
60,ACC-05468,High-Value Engaged,278818.63,169869.89,1184537.67,0.457,0.12,0.482282,Tier 3 — Develop,💰 High Headroom,,,,102,26.65,1
61,ACC-03225,High-Value Engaged,196125.84,171607.62,868341.22,0.4608,0.12,0.482281,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,91,52.76,5
62,ACC-09979,High-Value Engaged,267781.35,186521.09,979476.04,0.4372,0.12,0.478226,Tier 3 — Develop,💰 High Headroom,,,,107,37.7,0
63,ACC-03660,High-Value Engaged,275385.47,188728.73,878104.05,0.3653,0.12,0.472718,Tier 3 — Develop,💰 High Headroom,avg_feature_adoption,arr_utilization,arr_per_tenure_month,106,60.6,6
64,ACC-02775,Loyal Mid-Market,1134.18,156197.28,339206.63,0.5314,0.12,0.469323,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,98,85.14,9
65,ACC-04372,High-Value Engaged,156932.15,222265.35,723003.26,0.3831,0.12,0.46851,Tier 3 — Develop,💰 High Headroom,,,,187,50.27,3
66,ACC-03751,High-Value Engaged,251479.47,188102.72,902608.77,0.3647,0.12,0.467389,Tier 3 — Develop,💰 High Headroom,,,,108,55.04,3
67,ACC-01911,High-Value Engaged,173157.4,167635.74,854709.25,0.4003,0.12,0.465675,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,91,60.14,6
68,ACC-03981,High-Value Engaged,224854.84,157866.8,937412.87,0.4748,0.12,0.464978,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,307,48.29,4
69,ACC-05460,High-Value Engaged,278588.74,168328.19,1107758.12,0.3767,0.12,0.46378,Tier 3 — Develop,💰 High Headroom,,,,127,44.63,7
70,ACC-05451,High-Value Engaged,286693.94,164989.73,1192444.86,0.3731,0.12,0.462808,Tier 3 — Develop,💰 High Headroom,,,,325,45.19,3
71,ACC-09801,Growth-Stage Expanding,38658.04,134459.47,418944.4,0.6246,0.12,0.462368,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,126,64.82,8
72,ACC-09434,Loyal Mid-Market,2672.15,152694.75,410168.64,0.5088,0.12,0.460976,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,301,89.18,10
73,ACC-03270,Growth-Stage Expanding,84662.67,116058.28,529903.31,0.5969,0.12,0.460937,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,72,65.33,7
74,ACC-01414,Loyal Mid-Market,2277.85,155845.91,336276.55,0.5873,0.12,0.460648,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,221,71.4,10
75,ACC-01251,High-Value Engaged,199403.4,166331.41,852893.55,0.4698,0.12,0.460454,Tier 3 — Develop,💰 High Headroom,,,,270,47.97,7
76,ACC-07463,Growth-Stage Expanding,43244.08,136449.06,397960.36,0.6246,0.12,0.459083,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,arr_utilization,arr,arr_per_tenure_month,363,69.58,5
77,ACC-03585,Loyal Mid-Market,544.18,153718.57,359740.71,0.546,0.12,0.458696,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,175,78.58,8
78,ACC-03940,High-Value Engaged,186892.15,165851.98,858814.42,0.4914,0.12,0.457807,Tier 3 — Develop,💰 High Headroom,,,,251,39.62,2
79,ACC-01442,Growth-Stage Expanding,118176.37,97207.11,492797.42,0.6246,0.12,0.457384,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell | ✅ Ready to Expand,,,,340,85.08,10
80,ACC-01093,Loyal Mid-Market,28839.97,143338.31,363640.55,0.6064,0.12,0.456486,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,361,71.1,9
81,ACC-02483,Growth-Stage Expanding,58431.85,128074.62,432197.71,0.6064,0.12,0.45578,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,62,57.34,4
82,ACC-09554,High-Value Engaged,225790.46,193668.81,867441.75,0.3638,0.12,0.455632,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,292,53.39,9
83,ACC-02296,Growth-Stage Expanding,56330.16,131272.07,343937.44,0.632,0.12,0.455111,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,56,54.07,0
84,ACC-08884,Growth-Stage Expanding,64173.8,94963.32,294085.4,0.5967,0.12,0.45444,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,46,86.85,10
85,ACC-01853,Loyal Mid-Market,6279.11,145520.62,358449.81,0.4974,0.12,0.451833,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,110,87.55,10
86,ACC-02023,Loyal Mid-Market,35529.27,109044.6,294737.93,0.6814,0.12,0.451311,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,321,75.96,10
87,ACC-02183,Loyal Mid-Market,2626.56,151975.32,326519.17,0.5184,0.12,0.450311,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,233,85.64,10
88,ACC-07546,Loyal Mid-Market,12105.88,145406.53,339596.73,0.5217,0.12,0.44912,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,150,83.95,9
89,ACC-00754,Loyal Mid-Market,8285.99,145804.11,393237.96,0.5324,0.12,0.448375,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,,,,277,79.12,8
90,ACC-00851,Loyal Mid-Market,31107.92,134614.03,437505.97,0.5302,0.12,0.446357,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,362,82.49,10
91,ACC-05500,Loyal Mid-Market,54478.42,130204.27,333167.59,0.59,0.12,0.445472,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,355,78.59,10
92,ACC-08539,High-Value Engaged,167886.11,162482.49,872173.08,0.4333,0.12,0.444568,Tier 4 — Nurture,💰 High Headroom,,,,251,45.98,0
93,ACC-02546,Loyal Mid-Market,17829.02,139021.6,407184.21,0.5259,0.12,0.444534,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,217,79.83,10
94,ACC-01436,Loyal Mid-Market,1886.44,150530.04,279430.21,0.5241,0.12,0.443899,Tier 4 — Nurture,💰 High Headroom,,,,161,82.2,8
95,ACC-05594,Growth-Stage Expanding,91085.24,104762.7,511293.75,0.5835,0.12,0.44371,Tier 4 — Nurture,💰 High Headroom,,,,326,78.72,8
96,ACC-08113,Loyal Mid-Market,828.52,148800.51,278709.02,0.5057,0.12,0.441975,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,132,85.11,9
97,ACC-00234,Loyal Mid-Market,2742.53,144341.07,388300.73,0.4943,0.12,0.439706,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,356,85.12,9
98,ACC-01936,Growth-Stage Expanding,135203.59,81424.32,476581.41,0.5969,0.12,0.439537,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom,,,,45,66.66,4
99,ACC-05648,High-Value Engaged,237435.93,134702.89,982446.46,0.3778,0.12,0.438934,Tier 4 — Nurture,💰 High Headroom,,,,140,60.43,7
100,ACC-02090,Loyal Mid-Market,7133.65,143082.4,328272.14,0.5057,0.12,0.436853,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,186,83.13,9
101,ACC-04167,High-Value Engaged,250492.03,174756.76,910599.41,0.3918,0.12,0.4368,Tier 4 — Nurture,💰 High Headroom,,,,232,38.96,5
102,ACC-05534,Loyal Mid-Market,34142.13,102856.87,335556.24,0.632,0.12,0.436482,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell | ✅ Ready to Expand,,,,251,76.97,9
103,ACC-08715,High-Value Engaged,207243.13,181619.96,895422.08,0.3325,0.12,0.435589,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,364,52.69,10
104,ACC-04789,High-Value Engaged,303319.41,146532.79,431858.12,0.5418,0.52,0.435326,Tier 4 — Nurture,📅 Renewal Window | ⚠️ Churn Risk | 💰 High Headroom | ➕ Cross-Sell,,,,41,36.59,1
105,ACC-03316,Growth-Stage Expanding,39800.95,131266.79,306097.23,0.5907,0.12,0.435062,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,203,69.65,9
106,ACC-02908,High-Value Engaged,182651.46,195428.72,765234.29,0.4059,0.12,0.434584,Tier 4 — Nurture,💰 High Headroom,,,,315,34.99,3
107,ACC-01420,Loyal Mid-Market,1053.1,144558.36,301124.5,0.5045,0.12,0.43385,Tier 4 — Nurture,💰 High Headroom,,,,155,81.38,8
108,ACC-02919,Growth-Stage Expanding,87610.9,70382.53,417102.63,0.5969,0.12,0.433615,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,47,76.23,10
109,ACC-02640,Loyal Mid-Market,19035.42,136393.07,339663.08,0.5302,0.12,0.43348,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,169,76.72,10
110,ACC-07893,High-Value Engaged,242318.8,134043.61,993596.74,0.3648,0.12,0.432889,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom,arr_utilization,login_growth,logins_stddev,68,49.16,8
111,ACC-08703,Loyal Mid-Market,51076.71,123829.99,366837.68,0.5431,0.12,0.431273,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,health_score,num_products,arr,308,80.77,9
112,ACC-08300,Loyal Mid-Market,26097.03,134690.25,287702.02,0.5929,0.12,0.430891,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,174,64.32,9
113,ACC-00445,Loyal Mid-Market,32254.24,127448.34,421614.76,0.524,0.12,0.430597,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,266,77.13,10
114,ACC-09645,Loyal Mid-Market,2053.84,117015.54,279416.1,0.6001,0.12,0.430582,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,170,74.47,9
115,ACC-09759,High-Value Engaged,336019.1,115010.37,919498.73,0.4403,0.12,0.43038,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,305,61.19,10
116,ACC-01807,Growth-Stage Expanding,111541.92,85697.05,474425.45,0.6542,0.12,0.428642,Tier 4 — Nurture,💰 High Headroom,,,,100,55.76,5
117,ACC-01195,Loyal Mid-Market,5644.49,133624.82,367670.93,0.5241,0.12,0.428318,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,96,67.92,9
118,ACC-07418,Loyal Mid-Market,1215.7,119085.02,238195.46,0.6337,0.12,0.427854,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,health_score,num_users,max_storage_gb,278,68.89,9
119,ACC-00548,High-Value Engaged,209263.91,138439.26,902637.48,0.3374,0.12,0.427315,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,165,68.76,9
120,ACC-01790,Growth-Stage Expanding,99814.54,101609.43,372231.51,0.5386,0.12,0.426388,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom | ➕ Cross-Sell,,,,56,74.04,7
121,ACC-08530,Loyal Mid-Market,23595.4,129975.55,405427.33,0.5084,0.12,0.42563,Tier 4 — Nurture,💰 High Headroom,,,,364,78.65,7
122,ACC-04739,Growth-Stage Expanding,78290.22,106204.01,395063.62,0.546,0.12,0.425587,Tier 4 — Nurture,💰 High Headroom,health_score,login_growth,arr,131,79.1,8
123,ACC-07044,Loyal Mid-Market,25606.53,134230.5,293034.52,0.5057,0.12,0.425324,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,253,85.36,10
124,ACC-05352,Loyal Mid-Market,6088.67,134551.82,354789.12,0.4669,0.12,0.424077,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,149,85.19,10
125,ACC-04679,High-Value Engaged,307913.19,121171.15,837000.53,0.4687,0.12,0.423961,Tier 4 — Nurture,💰 High Headroom,,,,150,48.14,4
126,ACC-01978,Loyal Mid-Market,613.62,78689.59,145389.24,0.6829,0.12,0.423907,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,122,82.42,9
127,ACC-09350,Growth-Stage Expanding,50657.41,42426.3,165192.6,0.8258,0.12,0.423789,Tier 4 — Nurture,🔥 Hot Upsell | 📅 Renewal Window | ➕ Cross-Sell,,,,48,50.67,1
128,ACC-06860,Growth-Stage Expanding,52573.9,87470.58,250586.22,0.7397,0.12,0.422705,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,arr_utilization,peak_feature_adoption,arr,167,53.5,9
129,ACC-07500,Growth-Stage Expanding,52693.38,117863.33,397738.23,0.5386,0.12,0.422307,Tier 4 — Nurture,💰 High Headroom,health_score,arr,num_products,304,76.14,6
130,ACC-03581,Loyal Mid-Market,1828.18,115365.01,238917.83,0.5775,0.12,0.421286,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,156,77.65,10
131,ACC-07135,Loyal Mid-Market,24375.67,127736.66,397114.54,0.5302,0.12,0.420837,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,health_score,avg_feature_adoption,arr,318,70.97,9
132,ACC-09791,Loyal Mid-Market,22188.83,129602.82,347299.25,0.5302,0.12,0.420796,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,188,71.62,10
133,ACC-05396,Loyal Mid-Market,20887.86,126963.26,390327.01,0.4974,0.12,0.419566,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,179,76.76,10
134,ACC-03226,Loyal Mid-Market,2793.7,131858.17,335731.97,0.4853,0.12,0.419367,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,91,74.89,10
135,ACC-07647,High-Value Engaged,226943.76,168612.4,887628.02,0.4064,0.12,0.418925,Tier 4 — Nurture,💰 High Headroom,,,,244,28.0,1
136,ACC-00029,Loyal Mid-Market,27173.8,100549.1,337188.51,0.5854,0.12,0.418576,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,302,77.99,10
137,ACC-05240,Loyal Mid-Market,2856.48,137606.93,329620.78,0.4974,0.12,0.41843,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,299,77.43,9
138,ACC-00085,High-Value Engaged,138429.9,205316.95,329996.99,0.3037,0.52,0.417333,Tier 4 — Nurture,📅 Renewal Window | ⚠️ Churn Risk | 💰 High Headroom,logins_stddev,num_products,avg_feature_adoption,32,48.57,1
139,ACC-01052,Growth-Stage Expanding,113982.99,82017.27,508816.7,0.505,0.12,0.417204,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter,logins_stddev,max_storage_gb,health_score,40,67.29,9
140,ACC-00305,Loyal Mid-Market,530.71,136920.43,324567.98,0.4962,0.12,0.416931,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,health_score,avg_feature_adoption,num_products,211,75.76,7
141,ACC-02996,Loyal Mid-Market,4854.2,132722.53,318811.13,0.5057,0.12,0.415401,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,health_score,num_products,contract_end_days,126,71.33,9
142,ACC-08536,Loyal Mid-Market,28953.82,118678.27,389748.74,0.4974,0.12,0.414106,Tier 4 — Nurture,💰 High Headroom,,,,99,72.43,5
143,ACC-03781,Growth-Stage Expanding,85380.13,100213.08,457301.66,0.5302,0.12,0.413661,Tier 4 — Nurture,📅 Renewal Window | 💰 High Headroom,contract_end_days,arr,num_products,64,62.3,6
144,ACC-05656,Loyal Mid-Market,20153.4,130248.86,300002.41,0.4815,0.12,0.412776,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,273,84.61,10
145,ACC-07375,At-Risk Dormant,11579.21,53143.4,157577.97,0.6814,0.12,0.412527,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,32,61.4,8
